model,pearson,spearman,r2,mse,mean_error,std_error,n
dynunet,0.6125048539167064,0.4424242424242424,0.2250097078334129,0.6974912629499286,-8.881784197001253e-17,0.8803353293868124,10
segresnet,0.4414408424160539,0.49090909090909085,-0.11711831516789206,1.0054064836511034,-3.552713678800501e-16,1.0569381794447075,10
unet,0.6846727757911693,0.33333333333333326,0.36934555158233895,0.5675890035758951,3.108624468950438e-16,0.7941375500614873,10
unetr,0.8196614373906603,0.6484848484848483,0.6393228747813209,0.32460941269681143,1.6653345369377348e-16,0.6005640059299919,10
