model,pearson,spearman,r2,mse,mean_error,std_error,n
dynunet,0.7138022895866841,0.6236271252687121,0.4151195811641393,0.5009749675602952,-0.24976250000725408,0.6661944267699597,85
segresnet,0.6237497416437607,0.4701387531756888,0.1326663963457846,0.7429081397860321,-0.06664590364900265,0.8644407040007028,85
unet,0.6096594229459724,0.4730897009966777,0.2570633974266012,0.6363568148073283,-0.1829953389007424,0.7810547604695031,85
unetr,0.6591744580670399,0.6254250537424272,0.26688076544462513,0.6279478213345322,-0.3599247798717598,0.7101657067221285,85
