Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px),folder,file
0.0,54.14213562373095,21.727922061357855,4.414213562373095,0.0,C1216,C1216_000.png
0.0,107.82842712474618,0.0,0.0,0.0,C1216,C1216_001.png
0.0,19.071067811865476,0.0,0.0,0.0,C1216,C1216_002.png
0.0,43.242640687119284,14.65685424949238,0.0,0.0,C1216,C1216_003.png
0.0,31.899494936611667,11.071067811865476,0.0,0.0,C1216,C1216_004.png
0.0,171.25483399593904,31.727922061357855,0.0,0.0,C1216,C1216_005.png
0.0,218.74011537017762,53.14213562373095,0.0,0.0,C1216,C1216_006.png
0.0,302.6812408671319,76.5269119345812,1.0,0.0,C1216,C1216_007.png
0.0,260.2253967444162,100.66904755831214,0.0,0.0,C1216,C1216_008.png
0.0,241.29646455628165,109.39696961966999,0.0,0.0,C1216,C1216_009.png
0.0,283.75230867899734,138.95331880577405,7.82842712474619,0.0,C1216,C1216_010.png
0.0,309.68124086713186,157.8528137423857,21.899494936611664,3.414213562373095,C1216,C1216_011.png
0.0,273.9238815542512,136.36753236814712,0.0,0.0,C1216,C1216_012.png
0.0,292.2670273047588,160.50966799187808,0.0,0.0,C1216,C1216_013.png
0.0,389.45079348883235,78.91168824543142,1.4142135623730951,0.0,C1216,C1216_014.png
0.0,307.58073580374355,131.29646455628165,1.0,0.0,C1216,C1216_015.png
0.0,282.5096679918781,50.526911934581186,0.0,0.0,C1216,C1216_016.png
0.0,249.39696961967,101.39696961966999,0.0,0.0,C1216,C1216_017.png
0.0,124.94112549695429,28.97056274847714,0.0,0.0,C1216,C1216_018.png
0.0,108.79898987322333,26.31370849898476,0.0,0.0,C1216,C1216_019.png
0.0,104.698484809835,15.414213562373096,0.0,0.0,C1216,C1216_020.png
0.0,210.46803743153546,59.01219330881976,4.414213562373095,0.0,C1216,C1216_021.png
0.0,252.4386001800126,87.32590180780451,0.0,0.0,C1216,C1216_022.png
0.0,339.06601717798213,116.8111831820431,1.0,0.0,C1216,C1216_023.png
0.0,332.48023074035524,71.76955262170047,0.0,0.0,C1216,C1216_024.png
0.0,325.2375900532359,114.39696961966999,0.0,0.0,C1216,C1216_025.png
0.0,356.2375900532359,81.91168824543142,0.0,0.0,C1216,C1216_026.png
0.0,338.2375900532359,132.1959594928933,0.0,0.0,C1216,C1216_027.png
0.0,395.5218613006978,88.91168824543142,0.0,0.0,C1216,C1216_028.png
0.0,364.2375900532359,205.1370849898476,0.0,0.0,C1216,C1216_029.png
0.0,442.24978336205567,87.81118318204308,8.0,0.0,C1216,C1216_030.png
0.0,487.22034611053283,154.6812408671319,0.0,0.0,C1216,C1216_031.png
0.0,462.14927829866735,143.75230867899737,0.0,0.0,C1216,C1216_032.png
0.0,480.60512242138304,197.20815280171308,0.0,0.0,C1216,C1216_033.png
0.0,485.63455967290594,140.8528137423857,1.4142135623730951,0.0,C1216,C1216_034.png
0.0,469.19090885901,195.55129855222071,3.0,0.0,C1216,C1216_035.png
0.0,489.01933598375615,146.1959594928933,0.0,0.0,C1216,C1216_036.png
0.0,574.6883835420683,190.4802307403552,6.82842712474619,0.0,C1216,C1216_037.png
0.0,524.5046173579948,155.50966799187808,0.0,0.0,C1216,C1216_038.png
0.0,491.2914139223983,196.7228714274745,14.071067811865476,0.0,C1216,C1216_039.png
0.0,529.5634918610405,147.19595949289334,13.82842712474619,0.0,C1216,C1216_040.png
0.0,521.048773235279,226.86500705120545,1.0,0.0,C1216,C1216_041.png
0.0,543.6345596729059,136.12489168102783,4.414213562373095,0.0,C1216,C1216_042.png
0.0,481.9482681718907,185.48023074035524,9.242640687119286,0.0,C1216,C1216_043.png
0.0,483.492424049175,188.40916292848974,0.0,0.0,C1216,C1216_044.png
0.0,594.4751801064718,204.37972567696687,3.8284271247461903,0.0,C1216,C1216_045.png
0.0,543.8772003600252,163.92388155425118,3.0,0.0,C1216,C1216_046.png
0.0,578.0315292925759,223.93607486307093,0.0,0.0,C1216,C1216_047.png
0.0,540.6761902332486,140.02438661763952,4.0,0.0,C1216,C1216_048.png
0.0,588.5462479183374,196.1370849898476,3.414213562373095,0.0,C1216,C1216_049.png
0.0,524.1198410471445,164.33809511662426,4.82842712474619,0.0,C1216,C1216_050.png
0.0,528.8772003600252,212.20815280171308,15.242640687119284,0.0,C1216,C1216_051.png
0.0,532.605122421383,189.89444430272832,8.242640687119286,0.0,C1216,C1216_052.png
0.0,524.747258045114,242.89444430272832,4.82842712474619,0.0,C1216,C1216_053.png
0.0,522.9777054234136,159.95331880577405,2.0,0.0,C1216,C1216_054.png
0.0,490.3919189857866,183.40916292848974,12.071067811865476,0.0,C1216,C1216_055.png
0.0,555.9777054234136,144.1959594928933,1.4142135623730951,0.0,C1216,C1216_056.png
0.0,492.8355697996826,161.92388155425118,2.0,0.0,C1216,C1216_057.png
0.0,519.2203461105329,142.1959594928933,2.0,0.0,C1216,C1216_058.png
0.0,545.9188309203678,241.62236636408616,1.0,0.0,C1216,C1216_059.png
0.0,568.6345596729059,187.4802307403552,0.0,0.0,C1216,C1216_060.png
0.0,535.3330444827409,231.9655121145938,19.071067811865476,0.0,C1216,C1216_061.png
0.0,543.3624817342638,104.63961030678928,0.0,0.0,C1216,C1216_062.png
0.0,572.5046173579948,179.75230867899737,0.0,0.0,C1216,C1216_063.png
0.0,568.605122421383,112.5685424949238,2.0,0.0,C1216,C1216_064.png
0.0,500.32085117392114,207.40916292848974,6.656854249492381,0.0,C1216,C1216_065.png
0.0,545.2914139223983,130.36753236814712,11.82842712474619,0.0,C1216,C1216_066.png
0.0,559.1198410471445,164.82337649086284,5.82842712474619,0.0,C1216,C1216_067.png
0.0,551.3919189857867,125.46803743153546,0.0,0.0,C1216,C1216_068.png
0.0,529.906637611548,136.95331880577405,0.0,0.0,C1216,C1216_069.png
0.0,493.9066376115481,152.8528137423857,5.82842712474619,0.0,C1216,C1216_070.png
0.0,532.0193359837562,156.8528137423857,15.242640687119284,0.0,C1216,C1216_071.png
0.0,464.2081528017131,162.26702730475878,0.0,0.0,C1216,C1216_072.png
0.0,472.5218613006978,143.095454429505,0.0,0.0,C1216,C1216_073.png
0.0,484.69343417595167,153.61017305526642,0.0,0.0,C1216,C1216_074.png
0.0,488.45079348883235,138.1959594928933,8.242640687119286,0.0,C1216,C1216_075.png
0.0,501.6639969244288,70.76955262170047,4.82842712474619,0.0,C1216,C1216_076.png
0.0,450.69343417595167,178.75230867899737,1.0,0.0,C1216,C1216_077.png
0.0,508.53405460951757,95.7401153701776,7.242640687119285,0.0,C1216,C1216_078.png
0.0,486.0071426749364,139.1959594928933,0.0,0.0,C1216,C1216_079.png
0.0,498.1076477383247,81.08326112068524,4.0,0.0,C1216,C1216_080.png
0.0,477.86500705120545,171.50966799187808,6.82842712474619,0.0,C1216,C1216_081.png
0.0,427.48023074035524,95.91168824543142,0.0,0.0,C1216,C1216_082.png
0.0,435.03657992645924,144.6812408671319,2.0,0.0,C1216,C1216_083.png
0.0,412.69343417595167,106.49747468305833,0.0,0.0,C1216,C1216_084.png
0.0,458.5929291125633,136.36753236814712,2.0,0.0,C1216,C1216_085.png
0.0,417.86500705120545,79.59797974644665,0.0,0.0,C1216,C1216_086.png
0.0,428.4213562373095,128.36753236814712,2.0,0.0,C1216,C1216_087.png
0.0,369.8944443027283,70.76955262170047,0.0,0.0,C1216,C1216_088.png
0.0,356.75230867899734,73.25483399593904,3.8284271247461903,0.0,C1216,C1216_089.png
0.0,305.5391052434009,31.556349186104043,5.0,0.0,C1216,C1216_090.png
0.0,265.68124086713186,104.5685424949238,0.0,0.0,C1216,C1216_091.png
0.0,276.3675323681471,28.79898987322333,0.0,0.0,C1216,C1216_092.png
0.0,225.78174593052023,44.2842712474619,0.0,0.0,C1216,C1216_093.png
0.0,84.04163056034261,4.242640687119286,0.0,0.0,C1216,C1216_094.png
0.0,62.798989873223334,0.0,0.0,0.0,C1216,C1216_095.png
0.0,239.46803743153546,93.91168824543142,0.0,0.0,C1216,C1216_096.png
0.0,255.29646455628165,98.7401153701776,0.0,0.0,C1216,C1216_097.png
0.0,233.88225099390857,48.62741699796952,0.0,0.0,C1216,C1216_098.png
0.0,189.9116882454314,70.18376618407356,0.0,0.0,C1216,C1216_099.png
0.0,182.66904755831214,36.62741699796952,0.0,0.0,C1216,C1216_100.png
0.0,200.71067811865476,32.79898987322333,0.0,0.0,C1216,C1216_101.png
0.0,130.25483399593904,33.04163056034262,0.0,0.0,C1216,C1216_102.png
0.0,101.94112549695429,44.698484809834994,0.0,0.0,C1216,C1216_103.png
0.0,98.87005768508881,16.071067811865476,0.0,0.0,C1216,C1216_104.png
0.0,116.35533905932738,23.556349186104047,0.0,0.0,C1216,C1216_105.png
0.0,70.38477631085024,9.485281374238571,0.0,0.0,C1216,C1216_106.png
0.0,60.55634918610404,4.242640687119286,0.0,0.0,C1216,C1216_107.png
0.0,28.071067811865476,0.0,0.0,0.0,C1216,C1216_108.png
0.0,17.242640687119284,0.0,0.0,0.0,C1216,C1216_109.png
0.0,2.0,0.0,0.0,0.0,C1216,C1216_110.png
0.0,1.4142135623730951,0.0,0.0,0.0,C1216,C1216_111.png
0.0,1.0,0.0,0.0,0.0,C1216,C1216_112.png
